Player,Born,Url,Squad,Nation,player_dob,player_url,tm_squad,tm_nationality,player_position
Facundo Quignon,1993,https://fbref.com/en/players/5b33b84c/Facundo-Quignon,FC Dallas,ar ARG,NA,https://www.transfermarkt.com/facundo-quignon/profil/spieler/131218,NA,NA,NA
Felipe,1990,https://fbref.com/en/players/2415bd0a/Felipe,Austin,br BRA,NA,https://www.transfermarkt.com/felipe-martins/profil/spieler/85012,NA,NA,NA
Felipe Hernandez,1998,https://fbref.com/en/players/31a4d0b8/Felipe-Hernandez,Sporting KC,us USA,NA,https://www.transfermarkt.com/felipe-hernandez/profil/spieler/464518,NA,NA,NA
Franko Kovačević,1999,https://fbref.com/en/players/dbe0034f/Franko-Kovacevic,FC Cincinnati,hr CRO,NA,https://www.transfermarkt.com/franko-kovacevic/profil/spieler/425916,NA,NA,NA
Gerso Fernandes,1991,https://fbref.com/en/players/43cbe937/Gerso-Fernandes,Sporting KC,gw GNB,NA,https://www.transfermarkt.com/gerso/profil/spieler/197157,NA,NA,NA
Guðmundur Þórarinsson,1992,https://fbref.com/en/players/ded30989/Gudmundur-Thorarinsson,NYCFC,is ISL,NA,https://www.transfermarkt.com/gudmundur-thorarinsson/profil/spieler/114113,NA,NA,NA
Handwalla Bwana,1997,https://fbref.com/en/players/b56080ee/Handwalla-Bwana,Nashville,so SOM,NA,https://www.transfermarkt.com/handwalla-bwana/profil/spieler/425824,NA,NA,NA
Hwang In-beom,1996,https://fbref.com/en/players/92fa5d28/Hwang-In-beom,Vancouver,kr KOR,NA,https://www.transfermarkt.com/in-beom-hwang/profil/spieler/365394,NA,NA,NA
Ján Greguš,1991,https://fbref.com/en/players/7d974435/Jan-Gregus,San Jose,sk SVK,NA,https://www.transfermarkt.com/jan-gregus/profil/spieler/112317,NA,NA,NA
Jan Sobociński,1999,https://fbref.com/en/players/5358009d/Jan-Sobocinski,Charlotte,pl POL,NA,https://www.transfermarkt.com/jan-sobocinski/profil/spieler/320747,NA,NA,NA
Jesse Gonzalez,1995,https://fbref.com/en/players/203a7651/Jesse-Gonzalez,FC Dallas,mx MEX,NA,https://www.transfermarkt.com/jesse-gonzalez/profil/spieler/263770,NA,NA,NA
Jesús David Murillo Largacha,1994,https://fbref.com/en/players/68d48a71/Jesus-David-Murillo-Largacha,Los Angeles FC,co COL,NA,https://www.transfermarkt.com/jesus-murillo/profil/spieler/364058,NA,NA,NA
Jonathan Perez,2003,https://fbref.com/en/players/41e57408/Jonathan-Perez,LA Galaxy,mx MEX,NA,https://www.transfermarkt.com/jonathan-perez/profil/spieler/694158,NA,NA,NA
Jony,1994,https://fbref.com/en/players/60665492/Jony,Real Salt Lake,ar ARG,NA,https://www.transfermarkt.com/jonathan-menendez/profil/spieler/232142,NA,NA,NA
Jordy Alcivar,1999,https://fbref.com/en/players/6e98c19f/Jordy-Alcivar,Charlotte,ec ECU,NA,https://www.transfermarkt.com/jordy-alcivar/profil/spieler/598145,NA,NA,NA
Juan Castillo,2004,https://fbref.com/en/players/bd538c54/Juan-Castillo,Houston Dynamo,co COL,NA,https://www.transfermarkt.com/juan-castilla/profil/spieler/749970,NA,NA,NA
Julian Dunn-Johnson,2000,https://fbref.com/en/players/220b5800/Julian-Dunn-Johnson,Toronto FC,ca CAN,NA,https://www.transfermarkt.com/julian-dunn/profil/spieler/494823,NA,NA,NA
Julian Vazquez,2001,https://fbref.com/en/players/ff07b25e/Julian-Vazquez,Sporting KC,us USA,NA,https://www.transfermarkt.com/julian-vazquez/profil/spieler/624261,NA,NA,NA
Julio Benitez,2005,https://fbref.com/en/players/625ed11d/Julio-Benitez,Real Salt Lake,us USA,NA,https://www.transfermarkt.com/julio-benitez/profil/spieler/830603,NA,NA,NA
Kacper Przybyłko,1993,https://fbref.com/en/players/4c53a714/Kacper-Przybylko,Chicago Fire,pl POL,NA,https://www.transfermarkt.com/kacper-przybylko/profil/spieler/86030,NA,NA,NA
Karol Świderski,1997,https://fbref.com/en/players/41723204/Karol-Swiderski,Charlotte,pl POL,NA,https://www.transfermarkt.com/karol-swiderski/profil/spieler/330126,NA,NA,NA
Kim Kee-hee,1989,https://fbref.com/en/players/46c6ba76/Kim-Kee-hee,Seattle,kr KOR,NA,https://www.transfermarkt.com/kee-hee-kim/profil/spieler/180579,NA,NA,NA
Kim Moonhwan,1995,https://fbref.com/en/players/6bce7dd8/Kim-Moonhwan,Los Angeles FC,kr KOR,NA,https://www.transfermarkt.com/moon-hwan-kim/profil/spieler/524592,NA,NA,NA
Kurowskybob Fertil-Pierre,2002,https://fbref.com/en/players/0ea6656a/Kurowskybob-Fertil-Pierre,Real Salt Lake,ht HAI,NA,https://www.transfermarkt.com/bobby-pierre/profil/spieler/709178,NA,NA,NA
Luiz Fernando,1997,https://fbref.com/en/players/ce23c94d/Luiz-Fernando,Atlanta Utd,br BRA,NA,https://www.transfermarkt.com/luiz-fernando-nascimento/profil/spieler/424205,NA,NA,NA
Luka Stojanović,1994,https://fbref.com/en/players/1a892191/Luka-Stojanovic,Chicago Fire,rs SRB,NA,https://www.transfermarkt.com/luka-stojanovic/profil/spieler/186499,NA,NA,NA
Machop Malual,1998,https://fbref.com/en/players/1701b012/Machop-Malual,Atlanta Utd,ss SSD,NA,https://www.transfermarkt.com/machop-chol/profil/spieler/637456,NA,NA,NA
Mamadou Fall,2002,https://fbref.com/en/players/805a2a11/Mamadou-Fall,Los Angeles FC,sn SEN,NA,https://www.transfermarkt.com/mamadou-mbacke/profil/spieler/898751,NA,NA,NA
Marcelino Moreno,1994,https://fbref.com/en/players/058c938c/Marcelino-Moreno,Atlanta Utd,ar ARG,NA,https://www.transfermarkt.com/marcelino-moreno/profil/spieler/456617,NA,NA,NA
Marco Farfan,1998,https://fbref.com/en/players/cfc68595/Marco-Farfan,FC Dallas,us USA,NA,https://www.transfermarkt.com/marco-farfan/profil/spieler/429443,NA,NA,NA
Marko Marić,1996,https://fbref.com/en/players/b57454c7/Marko-Maric,Houston Dynamo,hr CRO,NA,https://www.transfermarkt.com/marko-maric/profil/spieler/183793,NA,NA,NA
Mathias Jørgensen,2000,https://fbref.com/en/players/a854969f/Mathias-Jorgensen,NY Red Bulls,dk DEN,NA,https://www.transfermarkt.com/mathias-jorgensen/profil/spieler/542796,NA,NA,NA
Mathieu Choiniere,1999,https://fbref.com/en/players/017459bb/Mathieu-Choiniere,CF Montréal,ca CAN,NA,https://www.transfermarkt.com/mathieu-choiniere/profil/spieler/589006,NA,NA,NA
McKinze Gaines,1998,https://fbref.com/en/players/8ef72983/McKinze-Gaines,Charlotte,us USA,NA,https://www.transfermarkt.com/orrin-mckinze-gaines-ii/profil/spieler/332708,NA,NA,NA
Memo Rodriguez,1995,https://fbref.com/en/players/fc6c6b2b/Memo-Rodriguez,Houston Dynamo,us USA,NA,https://www.transfermarkt.com/memo-rodriguez/profil/spieler/367063,NA,NA,NA
Mihajlo Mišković,1998,https://fbref.com/en/players/be2188c4/Mihajlo-Miskovic,Chicago Fire,rs SRB,NA,https://www.transfermarkt.com/mihajlo-miskovic/profil/spieler/997554,NA,NA,NA
Missael Rodriguez,2003,https://fbref.com/en/players/14eb8481/Missael-Rodriguez,Chicago Fire,us USA,NA,https://www.transfermarkt.com/missael-rodriguez/profil/spieler/946064,NA,NA,NA
Modesto Mendez,1998,https://fbref.com/en/players/94c7718c/Modesto-Mendez,Inter Miami,cu CUB,NA,https://www.transfermarkt.com/modesto-mendez/profil/spieler/744587,NA,NA,NA
Mohamed El Monir,1992,https://fbref.com/en/players/2aa8fc33/Mohamed-El-Monir,Los Angeles FC,ly LBY,NA,https://www.transfermarkt.com/mohamed-el-munir/profil/spieler/202764,NA,NA,NA
Moussa Djitte,1999,https://fbref.com/en/players/627b570a/Moussa-Djitte,Austin,sn SEN,NA,https://www.transfermarkt.com/moussa-djitte/profil/spieler/591796,NA,NA,NA
Nathan Cardoso,1995,https://fbref.com/en/players/d4438745/Nathan-Cardoso,San Jose,br BRA,NA,https://www.transfermarkt.com/nathan/profil/spieler/339711,NA,NA,NA
Nelson Quiñones,2002,https://fbref.com/en/players/a295f0b3/Nelson-Quinones,Houston Dynamo,co COL,NA,https://www.transfermarkt.com/nelson-quinones/profil/spieler/910457,NA,NA,NA
Nemanja Nikolić,1987,https://fbref.com/en/players/e24a8b47/Nemanja-Nikolic,Chicago Fire,hu HUN,NA,https://www.transfermarkt.com/nemanja-nikolics/profil/spieler/102281,NA,NA,NA
Nikola Vujnović,1997,https://fbref.com/en/players/128d62ba/Nikola-Vujnovic,Sporting KC,me MNE,NA,https://www.transfermarkt.com/nikola-vujnovic/profil/spieler/293260,NA,NA,NA
Noah Cobb,,https://fbref.com/en/players/4c46e404/Noah-Cobb,Atlanta Utd,,NA,https://www.transfermarkt.com/noah-cobb/profil/spieler/895884,NA,NA,NA
Nouhou Tolo,1997,https://fbref.com/en/players/0796512f/Nouhou-Tolo,Seattle,cm CMR,NA,https://www.transfermarkt.com/nouhou/profil/spieler/436332,NA,NA,NA
Oskar Ågren,1998,https://fbref.com/en/players/5ad77e97/Oskar-Agren,San Jose,se SWE,NA,https://www.transfermarkt.com/oskar-agren/profil/spieler/972463,NA,NA,NA
Pablo Ruíz,1998,https://fbref.com/en/players/7368cd70/Pablo-Ruiz,Real Salt Lake,ar ARG,NA,https://www.transfermarkt.com/pablo-ruiz/profil/spieler/401580,NA,NA,NA
Ranko Veselinović,1999,https://fbref.com/en/players/366609b6/Ranko-Veselinovic,Vancouver,rs SRB,NA,https://www.transfermarkt.com/ranko-veselinovic/profil/spieler/336381,NA,NA,NA
Róbert Þorkelsson,2002,https://fbref.com/en/players/0eb8ad80/Robert-Thorkelsson,CF Montréal,is ISL,NA,https://www.transfermarkt.com/robert-orri-thorkelsson/profil/spieler/579573,NA,NA,NA
Roberto Punčec,1991,https://fbref.com/en/players/a97afc61/Roberto-Puncec,Sporting KC,hr CRO,NA,https://www.transfermarkt.com/roberto-puncec/profil/spieler/92120,NA,NA,NA
Sergio Santos Gomes,1994,https://fbref.com/en/players/a930b263/Sergio-Santos-Gomes,Philadelphia,br BRA,NA,https://www.transfermarkt.com/sergio-santos/profil/spieler/370561,NA,NA,NA
Shaft Brewer,1999,https://fbref.com/en/players/7fac343b/Shaft-Brewer,Los Angeles FC,us USA,NA,https://www.transfermarkt.com/shaft-brewer-jr-/profil/spieler/455980,NA,NA,NA
Steffen Yeattes,2000,https://fbref.com/en/players/bf89f7a7/Steffen-Yeattes,Toronto FC,ca CAN,NA,https://www.transfermarkt.com/steffen-yeates/profil/spieler/573949,NA,NA,NA
Theodore Ku-Dipietro,2002,https://fbref.com/en/players/ef7c10e0/Theodore-Ku-Dipietro,D.C. United,us USA,NA,https://www.transfermarkt.com/theodore-ku-dipietro/profil/spieler/677832,NA,NA,NA
Tomas Gomez,1993,https://fbref.com/en/players/ff070644/Tomas-Gomez,Real Salt Lake,us USA,NA,https://www.transfermarkt.com/tomas-gomez/profil/spieler/253761,NA,NA,NA
Toni Datković,1993,https://fbref.com/en/players/0893e14b/Toni-Datkovic,Real Salt Lake,hr CRO,NA,https://www.transfermarkt.com/toni-datkovic/profil/spieler/227015,NA,NA,NA
Vasco Fry Conroy,2000,https://fbref.com/en/players/661fa5b9/Vasco-Fry-Conroy,Vancouver,pe PER,NA,https://www.transfermarkt.com/vasco-fry/profil/spieler/491564,NA,NA,NA
Žan Kolmanič,2000,https://fbref.com/en/players/4501fd21/Zan-Kolmanic,Austin,si SVN,NA,https://www.transfermarkt.com/zan-kolmanic/profil/spieler/469686,NA,NA,NA
Zdeněk Ondrášek,1988,https://fbref.com/en/players/8d120526/Zdenek-Ondrasek,FC Dallas,cz CZE,NA,https://www.transfermarkt.com/zdenek-ondrasek/profil/spieler/72947,NA,NA,NA
